playerID,yearID,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
abreujo02,2015,vs RHP,146,,511,471,69,145,26,3,27,89,0,0,27,109,.308,.360,.548,.908,258,10,12,0,1,9,3,.351,113,149
abreujo02,2015,vs LHP,70,,157,142,19,33,8,0,3,12,0,0,12,31,.232,.306,.352,.658,50,6,3,0,0,2,1,.278,58,84
abreujo02,2015,vs RHP as RHB,146,,511,471,,145,26,3,27,89,0,0,27,109,.308,.360,.548,.908,258,10,12,0,1,9,3,.351,113,156
abreujo02,2015,vs LHP as RHB,70,,157,142,,33,8,0,3,12,0,0,12,31,.232,.306,.352,.658,50,6,3,0,0,2,1,.278,58,79
abreujo02,2015,vs RH Starter,121,121,524,484,73,152,26,3,28,89,0,0,28,107,.314,.365,.554,.918,268,9,11,0,1,8,3,.354,116,152
abreujo02,2015,vs LH Starter,33,33,144,129,15,26,8,0,2,12,0,0,11,33,.202,.285,.310,.595,40,7,4,0,0,3,1,.255,44,67
abreujo02,2016,vs RHP,154,,551,498,48,150,26,1,17,78,0,2,34,96,.301,.356,.460,.816,229,15,12,0,7,5,4,.339,99,121
abreujo02,2016,vs LHP,64,,144,126,19,33,6,0,8,22,0,0,13,29,.262,.340,.500,.840,63,6,3,0,2,2,4,.275,103,126
abreujo02,2016,vs RHP as RHB,154,,551,498,,150,26,1,17,78,0,0,34,96,.301,.356,.460,.816,229,15,12,0,7,5,4,.339,99,125
abreujo02,2016,vs LHP as RHB,64,,144,126,,33,6,0,8,22,0,0,13,29,.262,.340,.500,.840,63,6,3,0,2,2,4,.275,103,119
abreujo02,2016,vs RH Starter,121,121,527,474,50,150,26,1,18,79,0,1,34,86,.316,.372,.489,.861,232,11,12,0,7,5,4,.350,110,133
abreujo02,2016,vs LH Starter,38,38,168,150,17,33,6,0,7,21,0,1,13,39,.220,.292,.400,.692,60,10,3,0,2,2,4,.245,68,87
abreujo02,2017,vs RHP,152,,511,472,65,136,36,4,23,74,3,0,24,88,.288,.339,.528,.866,249,14,13,0,2,5,7,.311,91,128
abreujo02,2017,vs LHP,71,,164,149,30,53,7,2,10,28,0,0,11,31,.356,.402,.631,1.033,94,7,2,0,2,1,0,.391,128,174
abreujo02,2017,vs RHP as RHB,152,,511,472,,136,36,4,23,74,0,0,24,88,.288,.339,.528,.866,249,14,13,0,2,5,7,.311,91,134
abreujo02,2017,vs LHP as RHB,71,,164,149,,53,7,2,10,28,0,0,11,31,.356,.402,.631,1.033,94,7,2,0,2,1,0,.391,128,166
abreujo02,2017,vs RH Starter,112,112,481,441,68,132,35,5,24,73,3,0,25,81,.299,.351,.565,.916,249,15,12,0,3,6,7,.319,102,140
abreujo02,2017,vs LH Starter,44,44,194,180,27,57,8,1,9,29,0,0,10,38,.317,.361,.522,.883,94,6,3,0,1,0,0,.358,97,135
abreujo02,2018,vs RHP,126,,438,399,52,103,27,0,17,59,1,0,26,80,.258,.315,.454,.769,181,11,9,0,4,5,2,.281,93,109
abreujo02,2018,vs LHP,48,,115,100,16,29,9,1,5,19,1,0,11,29,.290,.365,.550,.915,55,3,2,0,2,2,1,.353,129,152
abreujo02,2018,vs RHP as RHB,126,,438,399,,103,27,0,17,59,0,0,26,80,.258,.315,.454,.769,181,11,9,0,4,5,2,.281,93,115
abreujo02,2018,vs LHP as RHB,48,,115,100,,29,9,1,5,19,0,0,11,29,.290,.365,.550,.915,55,3,2,0,2,2,1,.353,129,145
abreujo02,2018,vs RH Starter,98,97,420,377,50,95,22,0,17,55,1,0,29,74,.252,.319,.446,.765,168,11,10,0,4,6,3,.269,92,109
abreujo02,2018,vs LH Starter,30,30,133,122,18,37,14,1,5,23,1,0,8,35,.303,.346,.557,.903,68,3,1,0,2,1,0,.381,124,146
abreujo02,2019,vs RHP,156,,511,470,58,121,27,1,24,92,2,1,24,121,.257,.299,.472,.772,222,17,8,0,9,3,5,.290,84,102
abreujo02,2019,vs LHP,74,,182,164,27,59,11,0,9,31,0,1,12,31,.360,.418,.591,1.009,97,7,5,0,1,1,1,.400,144,162
abreujo02,2019,vs RHP as RHB,156,,511,470,,121,27,1,24,92,0,0,24,121,.257,.299,.472,.772,222,17,8,0,9,3,5,.290,84,107
abreujo02,2019,vs LHP as RHB,74,,182,164,,59,11,0,9,31,0,0,12,31,.360,.418,.591,1.009,97,7,5,0,1,1,1,.400,144,156
abreujo02,2019,vs RH Starter,104,104,447,409,49,104,24,1,21,74,2,1,22,101,.254,.300,.472,.772,193,16,8,0,8,3,5,.281,85,102
abreujo02,2019,vs LH Starter,55,55,246,225,36,76,14,0,12,49,0,1,14,51,.338,.386,.560,.946,126,8,5,0,2,1,1,.390,128,147
ackledu01,2015,vs RHP,90,,237,216,25,52,10,3,10,30,1,2,15,39,.241,.288,.454,.742,98,3,1,1,4,0,1,.246,107,103
ackledu01,2015,vs LHP,21,,27,22,3,3,1,0,0,0,1,0,3,6,.136,.240,.182,.422,4,0,0,2,0,0,1,.188,27,21
ackledu01,2015,vs RHP as LHB,90,,237,216,,52,10,3,10,30,0,0,15,39,.241,.288,.454,.742,98,3,1,1,4,0,1,.246,107,96
ackledu01,2015,vs LHP as LHB,21,,27,22,,3,1,0,0,0,0,0,3,6,.136,.240,.182,.422,4,0,0,2,0,0,1,.188,27,29
ackledu01,2015,vs RH Starter,84,64,234,212,28,50,8,3,10,28,1,2,15,42,.236,.286,.443,.729,94,3,1,3,3,0,1,.245,104,100
ackledu01,2015,vs LH Starter,24,3,30,26,0,5,3,0,0,2,1,0,3,3,.192,.267,.308,.574,8,0,0,0,1,0,1,.208,66,61
acunaro01,2018,vs RHP,102,,351,317,48,92,20,2,18,48,13,1,28,94,.290,.353,.536,.890,170,3,4,0,2,1,3,.357,94,141
acunaro01,2018,vs LHP,56,,136,116,30,35,6,2,8,16,3,4,17,29,.302,.397,.595,.992,69,1,2,0,1,1,0,.338,116,173
acunaro01,2018,vs RHP as RHB,102,,351,317,,92,20,2,18,48,0,0,28,94,.290,.353,.536,.890,170,3,4,0,2,1,3,.357,94,147
acunaro01,2018,vs LHP as RHB,56,,136,116,,35,6,2,8,16,0,0,17,29,.302,.397,.595,.992,69,1,2,0,1,1,0,.338,116,166
acunaro01,2018,vs RH Starter,77,74,334,296,48,87,23,1,16,46,12,2,32,80,.294,.368,.541,.909,160,3,4,0,2,2,3,.351,99,147
acunaro01,2018,vs LH Starter,34,34,153,137,30,40,3,3,10,18,4,3,13,43,.292,.359,.577,.936,79,1,2,0,1,0,0,.353,103,155
acunaro01,2019,vs RHP,150,,569,500,98,141,20,1,31,77,32,7,61,150,.282,.366,.512,.878,256,7,6,0,1,3,6,.344,99,132
acunaro01,2019,vs LHP,66,,146,126,29,34,2,1,10,24,5,2,15,38,.270,.361,.540,.901,68,1,3,0,0,1,2,.308,103,133
acunaro01,2019,vs RHP as RHB,150,,569,500,,141,20,1,31,77,0,0,61,150,.282,.366,.512,.878,256,7,6,0,1,3,6,.344,99,138
acunaro01,2019,vs LHP as RHB,66,,146,126,,34,2,1,10,24,0,0,15,38,.270,.361,.540,.901,68,1,3,0,0,1,2,.308,103,127
acunaro01,2019,vs RH Starter,121,119,559,487,97,134,18,1,27,73,31,6,63,150,.275,.364,.483,.847,235,7,6,0,1,3,6,.344,93,124
acunaro01,2019,vs LH Starter,35,35,156,139,30,41,4,1,14,28,6,3,13,38,.295,.368,.640,1.008,89,1,3,0,0,1,2,.310,124,160
adamecr01,2016,vs RHP,91,,177,153,15,33,4,1,2,13,1,3,17,29,.216,.310,.294,.604,45,2,4,3,0,0,2,.254,99,67
adamecr01,2016,vs LHP,52,,79,72,10,16,3,2,0,4,1,0,7,18,.222,.291,.319,.611,23,3,0,0,0,0,0,.296,101,67
adamecr01,2016,vs RHP as LHB,91,,177,153,,33,4,1,2,13,0,0,17,29,.216,.310,.294,.604,45,2,4,3,0,0,2,.254,99,63
adamecr01,2016,vs LHP as RHB,52,,79,72,,16,3,2,0,4,0,0,7,18,.222,.291,.319,.611,23,3,0,0,0,0,0,.296,101,62
adamecr01,2016,vs RH Starter,81,25,163,144,12,33,5,2,0,9,1,2,15,25,.229,.315,.292,.606,42,3,3,1,0,0,2,.277,100,68
adamecr01,2016,vs LH Starter,40,18,93,81,13,16,2,1,2,8,1,1,9,22,.198,.286,.321,.607,26,2,1,2,0,0,0,.246,100,66
adamewi01,2018,vs RHP,78,,230,206,31,59,6,0,8,21,6,4,21,63,.286,.354,.432,.786,89,5,1,1,1,0,1,.375,108,116
adamewi01,2018,vs LHP,44,,93,82,12,21,1,0,2,13,0,1,10,32,.256,.333,.341,.675,28,1,0,0,1,3,0,.388,80,90
adamewi01,2018,vs RHP as RHB,78,,230,206,,59,6,0,8,21,0,0,21,63,.286,.354,.432,.786,89,5,1,1,1,0,1,.375,108,122
adamewi01,2018,vs LHP as RHB,44,,93,82,,21,1,0,2,13,0,0,10,32,.256,.333,.341,.675,28,1,0,0,1,3,0,.388,80,85
adamewi01,2018,vs RH Starter,60,55,224,198,32,56,6,0,8,23,6,4,23,63,.283,.359,.434,.793,86,5,1,1,1,1,0,.375,110,118
adamewi01,2018,vs LH Starter,25,25,99,90,11,24,1,0,2,11,0,1,8,32,.267,.323,.344,.668,31,1,0,0,1,2,1,.386,78,87
adamewi01,2019,vs RHP,142,,386,349,51,102,20,1,12,37,3,1,33,98,.292,.358,.458,.817,160,6,3,1,0,1,3,.377,123,117
adamewi01,2019,vs LHP,102,,198,182,18,33,5,0,8,15,1,1,13,55,.181,.235,.341,.575,62,3,0,2,1,0,3,.208,56,49
adamewi01,2019,vs RHP as RHB,142,,386,349,,102,20,1,12,37,0,0,33,98,.292,.358,.458,.817,160,6,3,1,0,1,3,.377,123,123
adamewi01,2019,vs LHP as RHB,102,,198,182,,33,5,0,8,15,0,0,13,55,.181,.235,.341,.575,62,3,0,2,1,0,3,.208,56,46
adamewi01,2019,vs RH Starter,95,91,363,329,48,97,18,1,15,35,2,2,29,92,.295,.356,.492,.848,162,5,2,3,0,0,3,.369,130,124
adamewi01,2019,vs LH Starter,57,54,221,202,21,38,7,0,5,17,2,0,17,61,.188,.253,.297,.550,60,4,1,0,1,1,3,.241,51,46
adamsma01,2016,vs RHP,106,,277,251,31,61,16,0,13,41,0,1,23,70,.243,.310,.462,.773,116,4,2,0,1,1,2,.284,98,107
adamsma01,2016,vs LHP,31,,50,46,6,13,2,0,3,13,0,0,2,11,.283,.300,.522,.822,24,1,0,0,2,0,1,.294,108,119
adamsma01,2016,vs RHP as LHB,106,,277,251,,61,16,0,13,41,0,0,23,70,.243,.310,.462,.773,116,4,2,0,1,1,2,.284,98,102
adamsma01,2016,vs LHP as LHB,31,,50,46,,13,2,0,3,13,0,0,2,11,.283,.300,.522,.822,24,1,0,0,2,0,1,.294,108,141
adamsma01,2016,vs RH Starter,93,64,279,252,31,63,14,0,14,47,0,1,22,68,.250,.312,.472,.784,119,3,2,0,3,1,2,.283,101,110
adamsma01,2016,vs LH Starter,25,5,48,45,6,11,4,0,2,7,0,0,3,13,.244,.292,.467,.758,21,2,0,0,0,0,1,.300,94,103
adamsma01,2017,vs RHP,127,,304,278,41,82,19,1,17,53,0,0,21,72,.295,.342,.554,.896,154,3,1,0,4,5,0,.337,113,135
adamsma01,2017,vs LHP,42,,63,61,5,11,3,0,3,12,0,0,2,16,.180,.206,.377,.583,23,2,0,0,0,0,0,.190,37,53
adamsma01,2017,vs RHP as LHB,127,,304,278,,82,19,1,17,53,0,0,21,72,.295,.342,.554,.896,154,3,1,0,4,5,0,.337,113,128
adamsma01,2017,vs LHP as LHB,42,,63,61,,11,3,0,3,12,0,0,2,16,.180,.206,.377,.583,23,2,0,0,0,0,0,.190,37,68
adamsma01,2017,vs RH Starter,108,70,319,293,41,83,19,1,16,54,0,0,21,77,.283,.329,.519,.848,152,5,1,0,4,3,0,.328,103,123
adamsma01,2017,vs LH Starter,23,7,48,46,5,10,3,0,4,11,0,0,2,11,.217,.250,.543,.793,25,0,0,0,0,2,0,.194,82,106
adamsma01,2018,vs RHP,114,,294,265,36,64,7,0,20,49,0,0,26,65,.242,.316,.494,.811,131,4,3,0,0,3,2,.244,106,119
adamsma01,2018,vs LHP,32,,43,41,6,9,3,0,1,8,0,0,1,8,.220,.256,.366,.622,15,2,1,0,0,0,0,.250,60,72
adamsma01,2018,vs RHP as LHB,114,,294,265,,64,7,0,20,49,0,0,26,65,.242,.316,.494,.811,131,4,3,0,0,3,2,.244,106,113
adamsma01,2018,vs LHP as LHB,32,,43,41,,9,3,0,1,8,0,0,1,8,.220,.256,.366,.622,15,2,1,0,0,0,0,.250,60,85
adamsma01,2018,vs RH Starter,88,69,296,269,38,65,8,0,20,48,0,0,23,63,.242,.311,.494,.805,133,6,4,0,0,2,2,.242,104,118
adamsma01,2018,vs LH Starter,33,2,41,37,4,8,2,0,1,9,0,0,4,10,.216,.293,.351,.644,13,0,0,0,0,1,0,.269,68,79
adamsma01,2019,vs RHP,106,,270,248,37,57,11,0,16,42,0,0,19,95,.230,.289,.468,.757,116,5,2,0,1,1,0,.297,105,98
adamsma01,2019,vs LHP,45,,63,62,5,13,3,0,4,14,0,0,1,20,.210,.222,.452,.674,28,2,0,0,0,0,2,.237,78,70
adamsma01,2019,vs RHP as LHB,106,,270,248,,57,11,0,16,42,0,0,19,95,.230,.289,.468,.757,116,5,2,0,1,1,0,.297,105,93
adamsma01,2019,vs LHP as LHB,45,,63,62,,13,3,0,4,14,0,0,1,20,.210,.222,.452,.674,28,2,0,0,0,0,2,.237,78,82
adamsma01,2019,vs RH Starter,90,68,301,278,41,68,13,0,19,53,0,0,20,99,.245,.299,.496,.795,138,7,2,0,1,1,2,.304,115,107
adamsma01,2019,vs LH Starter,21,3,32,32,1,2,1,0,1,3,0,0,0,16,.063,.063,.188,.250,6,0,0,0,0,0,0,.067,-37,-38
adriaeh01,2018,vs RHP,98,,265,244,30,60,15,1,6,36,3,1,16,57,.246,.290,.389,.679,95,3,0,3,2,1,0,.295,99,86
adriaeh01,2018,vs LHP,54,,101,91,12,24,8,0,0,3,2,0,8,25,.264,.330,.352,.682,32,1,1,1,0,1,2,.364,103,91
adriaeh01,2018,vs RHP as RHB,1,,1,1,,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
adriaeh01,2018,vs RHP as LHB,98,,264,243,,60,15,1,6,36,0,0,16,57,.247,.291,.391,.682,95,3,0,3,2,1,0,.297,100,81
adriaeh01,2018,vs LHP as RHB,53,,98,88,,23,7,0,0,3,0,0,8,25,.261,.330,.341,.671,30,1,1,1,0,1,2,.365,100,84
adriaeh01,2018,vs LHP as LHB,2,,3,3,,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,2,0,0,0,0,0,0,.333,187,192
adriaeh01,2018,vs RH Starter,80,65,253,232,30,60,16,1,4,27,3,1,17,50,.259,.310,.388,.697,90,1,1,1,2,2,1,.311,105,92
adriaeh01,2018,vs LH Starter,34,30,113,103,12,24,7,0,2,12,2,0,7,32,.233,.282,.359,.641,37,3,0,3,0,0,1,.319,88,77
adriaeh01,2019,vs RHP,67,,175,150,23,41,8,2,3,17,0,1,14,29,.273,.349,.413,.762,62,0,5,1,3,1,3,.314,99,104
adriaeh01,2019,vs LHP,33,,61,52,11,14,0,1,2,5,0,1,6,11,.269,.350,.423,.773,22,2,1,1,1,0,1,.300,102,103
adriaeh01,2019,vs RHP as LHB,67,,175,150,,41,8,2,3,17,0,0,14,29,.273,.349,.413,.762,62,0,5,1,3,1,3,.314,99,99
adriaeh01,2019,vs LHP as RHB,33,,61,52,,14,0,1,2,5,0,0,6,11,.269,.350,.423,.773,22,2,1,1,1,0,1,.300,102,98
adriaeh01,2019,vs RH Starter,63,40,178,152,20,34,6,1,2,15,0,1,15,30,.224,.309,.316,.624,48,0,5,1,3,1,4,.260,65,69
adriaeh01,2019,vs LH Starter,20,14,58,50,14,21,2,2,3,7,0,1,5,10,.420,.474,.720,1.194,36,2,1,1,1,0,0,.474,209,211
aguilje01,2017,vs RHP,103,,196,176,26,43,9,1,11,35,0,0,14,61,.244,.311,.494,.806,87,7,4,0,2,0,1,.302,92,111
aguilje01,2017,vs LHP,59,,115,103,14,31,6,1,5,17,0,0,11,33,.301,.365,.524,.889,54,1,0,0,1,1,1,.394,114,137
aguilje01,2017,vs RHP as RHB,103,,196,176,,43,9,1,11,35,0,0,14,61,.244,.311,.494,.806,87,7,4,0,2,0,1,.302,92,117
aguilje01,2017,vs LHP as RHB,59,,115,103,,31,6,1,5,17,0,0,11,33,.301,.365,.524,.889,54,1,0,0,1,1,1,.394,114,130
aguilje01,2017,vs RH Starter,101,29,193,176,21,44,10,2,9,26,0,0,13,61,.250,.311,.483,.794,85,6,3,0,1,0,0,.327,90,109
aguilje01,2017,vs LH Starter,32,26,118,103,19,30,5,0,7,26,0,0,12,33,.291,.364,.544,.908,56,2,1,0,2,1,2,.354,118,141
aguilje01,2018,vs RHP,137,,413,361,58,98,17,0,26,87,0,0,38,109,.271,.341,.535,.876,193,14,5,0,9,0,0,.306,96,137
aguilje01,2018,vs LHP,78,,153,131,22,37,8,0,9,21,0,0,20,34,.282,.379,.550,.929,72,5,1,0,1,3,0,.315,110,156
aguilje01,2018,vs RHP as RHB,137,,413,361,,98,17,0,26,87,0,0,38,109,.271,.341,.535,.876,193,14,5,0,9,0,0,.306,96,143
aguilje01,2018,vs LHP as RHB,78,,153,131,,37,8,0,9,21,0,0,20,34,.282,.379,.550,.929,72,5,1,0,1,3,0,.315,110,149
aguilje01,2018,vs RH Starter,109,86,401,350,57,94,17,0,26,80,0,0,39,108,.269,.342,.540,.882,189,15,4,0,8,2,0,.304,97,139
aguilje01,2018,vs LH Starter,40,37,165,142,23,41,8,0,9,28,0,0,19,35,.289,.376,.535,.911,76,4,2,0,2,1,0,.320,106,150
aguilje01,2019,vs RHP,110,,224,191,28,45,8,0,8,37,0,0,25,49,.236,.323,.403,.726,77,8,2,0,5,0,1,.266,103,94
aguilje01,2019,vs LHP,69,,145,123,11,29,4,0,4,13,0,0,18,32,.236,.329,.366,.695,45,4,0,0,2,0,1,.281,95,83
aguilje01,2019,vs RHP as RHB,110,,224,191,,45,8,0,8,37,0,0,25,49,.236,.323,.403,.726,77,8,2,0,5,0,1,.266,103,99
